datetime,batiment,consommation_kwh,taux_co2_g_kwh,emission_co2_kg,conso_apres,emission_apres
2024-01-01 00:00:00,Gymnase,25.33629,0.53206209,0.013480479410246103,17.735403,0.009436335587172271
2024-01-01 00:15:00,Gymnase,25.38094,0.5329997399999999,0.013528034420955598,17.766658,0.00946962409466892
2024-01-01 00:30:00,Gymnase,24.73892,0.5195173200000001,0.012852297418094401,17.317244,0.00899660819266608
2024-01-01 00:45:00,Gymnase,24.09408,0.50597568,0.012191018511974402,16.865856,0.008533712958382081
2024-01-01 01:00:00,Gymnase,24.01747,0.50436687,0.0121136161692189,16.812229,0.00847953131845323
2024-01-01 01:15:00,Gymnase,24.21769,0.50857149,0.0123164266876581,16.952383,0.00862149868136067
2024-01-01 01:30:00,Gymnase,24.01277,0.50426817,0.0121088755845309,16.808939,0.008476212909171629
2024-01-01 01:45:00,Gymnase,24.12134,0.50654814,0.0122186199113076,16.884938,0.00855303393791532
2024-01-01 02:00:00,Gymnase,23.98316,0.5036463600000001,0.012079031235297603,16.788212,0.008455321864708322
2024-01-01 02:15:00,Gymnase,24.2191,0.5086011,0.012317860901010001,16.95337,0.008622502630707001
2024-01-01 02:30:00,Gymnase,23.72325,0.49818825,0.011818644401812501,16.606275,0.00827305108126875
2024-01-01 02:45:00,Gymnase,23.59306,0.51904732,0.0122459145635992,16.515142,0.00857214019451944
2024-01-01 03:00:00,Gymnase,23.32704,0.51319488,0.0119713174935552,16.328927999999998,0.00837992224548864
2024-01-01 03:15:00,Gymnase,22.88994,0.5264686199999999,0.012050835123682798,16.022958,0.008435584586577958
2024-01-01 03:30:00,Gymnase,22.4566,0.5389584,0.012103173205439998,15.71962,0.008472221243807998
2024-01-01 03:45:00,Gymnase,22.19575,0.51050225,0.0113309803154375,15.537025,0.00793168622080625
2024-01-01 04:00:00,Gymnase,22.03454,0.50679442,0.0111669819192668,15.424178,0.00781688734348676
2024-01-01 04:15:00,Gymnase,21.9161,0.5259864,0.01152757054104,15.34127,0.008069299378727999
2024-01-01 04:30:00,Gymnase,21.68157,0.52035768,0.0112821714639576,15.177099,0.007897520024770321
2024-01-01 04:45:00,Gymnase,21.56407,0.51753768,0.011160218759157601,15.094849,0.007812153131410321
2024-01-01 05:00:00,Gymnase,21.50861,0.5162066399999999,0.011102887299170399,15.056027,0.00777202110941928
2024-01-01 05:15:00,Gymnase,21.73421,0.52162104,0.0113370212237784,15.213947,0.007935914856644879
2024-01-01 05:30:00,Gymnase,21.55937,0.51742488,0.0111553544351256,15.091559,0.00780874810458792
2024-01-01 05:45:00,Gymnase,21.62047,0.5188912800000001,0.011218673352501603,15.134329,0.00785307134675112
2024-01-01 06:00:00,Gymnase,21.528350000000003,0.5166804,0.011123276489340002,15.069845,0.007786293542538001
2024-01-01 06:15:00,Gymnase,21.82445,0.5237868,0.01143135882726,15.277114999999998,0.008001951179082
2024-01-01 06:30:00,Gymnase,21.78544,0.5228505600000001,0.011390529503846402,15.249808,0.007973370652692482
2024-01-01 06:45:00,Gymnase,21.77228,0.5007624399999999,0.010902740057163199,15.240595999999998,0.007631918040014238
2024-01-01 07:00:00,Gymnase,21.81317,0.5235160799999999,0.011419545250773598,15.269218999999998,0.007993681675541518
2024-01-01 07:15:00,Gymnase,21.90623,0.54765575,0.0119970728203225,15.334361,0.00839795097422575
2024-01-01 07:30:00,Gymnase,21.87991,0.52511784,0.011489531078594397,15.315936999999998,0.008042671755016079
2024-01-01 07:45:00,Gymnase,21.82398,0.5237755199999999,0.011430866472969597,15.276785999999998,0.008001606531078717
2024-01-01 08:00:00,Gymnase,21.996,0.5498999999999999,0.012095600399999998,15.397199999999998,0.008466920279999998
2024-01-01 08:15:00,Gymnase,21.93913,0.5265391199999999,0.011551810203765597,15.357390999999998,0.008086267142635918
2024-01-01 08:30:00,Gymnase,21.989890000000003,0.5057674700000001,0.011121771030878304,15.392923000000001,0.007785239721614812
2024-01-01 08:45:00,Gymnase,22.03783,0.52890792,0.0116559828266136,15.426480999999999,0.00815918797862952
2024-01-01 09:00:00,Gymnase,21.95887,0.50505401,0.011090415348568701,15.371209,0.007763290743998091
2024-01-01 09:15:00,Gymnase,22.25215,0.5340516,0.01188379631094,15.576505,0.008318657417657999
2024-01-01 09:30:00,Gymnase,22.48104,0.51706392,0.0116241346680768,15.736728,0.00813689426765376
2024-01-01 09:45:00,Gymnase,22.54637,0.51856651,0.0116917924040687,15.782459,0.00818425468284809
2024-01-01 10:00:00,Gymnase,22.67562,0.5215392600000001,0.0118262260748412,15.872933999999997,0.00827835825238884
2024-01-01 10:15:00,Gymnase,22.86879,0.52598217,0.012028575789474302,16.008153,0.00842000305263201
2024-01-01 10:30:00,Gymnase,23.12165,0.5086763,0.011761435371894998,16.185154999999998,0.008233004760326498
2024-01-01 10:45:00,Gymnase,23.29884,0.5125744799999999,0.011942390797603198,16.309188,0.008359673558322239
2024-01-01 11:00:00,Gymnase,23.36229,0.53733267,0.0125533216630143,16.353603,0.008787325164110009
2024-01-01 11:15:00,Gymnase,23.55405,0.5181891000000001,0.012205451970855001,16.487835,0.008543816379598501
2024-01-01 11:30:00,Gymnase,23.515040000000003,0.51733088,0.012165056336435203,16.460528,0.00851553943550464
2024-01-01 11:45:00,Gymnase,23.78717,0.52331774,0.012448248045395799,16.651018999999998,0.008713773631777059
2024-01-01 12:00:00,Gymnase,23.92112,0.52626464,0.012588839605196798,16.744784,0.00881218772363776
2024-01-01 12:15:00,Gymnase,23.9841,0.5276502000000001,0.012655215161820003,16.78887,0.008858650613274002
